"","UID","Tot_Pop","UCentre_Pop","UCluster_Pop","Rural_Pop","UCentre_share","UCluster_share","Rural_share","flexurba_L1"
"45",17527,28273.2990022474,0,28156.6576396436,116.641362603754,0,0.995874504683925,0.00412549531607479,"2"
"46",17528,9859.24947366863,0,8102.6516749945,1756.59779867413,0,0.821832503238149,0.178167496761851,"2"
"47",17529,8948.28360545239,0,7430.00044170837,1518.28316374402,0,0.830326883826201,0.169673116173799,"2"
"48",17530,11289.6116205156,0,4558.88572894968,6730.7258915659,0,0.403812450081563,0.596187549918437,"1"
"49",17531,62560.7812065395,0,61921.6551973232,639.126009216299,0,0.989783918984223,0.0102160810157769,"2"
"50",17532,11423.3918519639,0,1808.98239579087,9614.40945617307,0,0.1583577294059,0.8416422705941,"1"
"51",17533,9290.76414445252,0,5328.48368905811,3962.28045539442,0,0.573524804441379,0.426475195558621,"2"
"52",17534,8616.32787035173,0,6929.82393055526,1686.50393979647,0,0.804266508288336,0.195733491711664,"2"
"53",17535,11408.4976376403,0,10119.7780694922,1288.71956814814,0,0.887038626024146,0.112961373975854,"2"
"54",17536,7896.50683398242,0,7361.47424490843,535.032589073991,0,0.932244396120638,0.0677556038793624,"2"
"55",17537,6957.66277386213,0,595.159795915708,6362.50297794642,0,0.0855401900407629,0.914459809959237,"1"
"56",17538,5437.11033874133,0,0,5437.11033874133,0,0,1,"1"
"57",17539,20671.8510965265,0,16599.6656889198,4072.18540760665,0,0.803008187869015,0.196991812130985,"2"
"58",17540,9741.69128840603,0,9159.77878960664,581.912498799386,0,0.940265762733424,0.0597342372665763,"2"
"59",17541,14809.0783622004,0,0,14809.0783622004,0,0,1,"1"
"60",17542,5138.21931773622,0,0,5138.21931773622,0,0,1,"1"
"61",17543,11291.2028648995,0,10584.6535763454,706.549288554117,0,0.93742479902203,0.0625752009779698,"2"
"62",17544,23563.3251587844,0,22533.7938650963,1029.53129368811,0,0.956307894291214,0.0436921057087862,"2"
"63",17545,11954.9175839553,0,10373.7720065687,1581.1455773866,0,0.867740988904126,0.132259011095874,"2"
"64",17546,11669.2661197323,0,8587.42715466674,3081.83896506554,0,0.735901218341891,0.264098781658109,"2"
